From,To,Overlap
TestCondition.java,AbstractAssert.java,0.16193181818181818
AbstractAssert.java,AnyOf_matches_Test.java,0.10140845070422536
AnyOf_matches_Test.java,AbstractAssert.java,0.10140845070422536
AbstractAssert.java,MapEntry_toString_Test.java,0.10518731988472622
MapEntry_toString_Test.java,AbstractAssert.java,0.10518731988472622
AbstractAssert.java,TextDescription_constructor_Test.java,0.10339943342776203
TextDescription_constructor_Test.java,AbstractAssert.java,0.10339943342776203
AbstractAssert.java,ShouldNotHaveDuplicates_create_Test.java,0.10644257703081232
ShouldNotHaveDuplicates_create_Test.java,AbstractAssert.java,0.10644257703081232
AbstractAssert.java,ByNameSingleExtractorTest.java,0.08994082840236686
ByNameSingleExtractorTest.java,AbstractAssert.java,0.08994082840236686
AbstractAssert.java,Properties_extractProperty_Test.java,0.10312075983717775
Properties_extractProperty_Test.java,AbstractAssert.java,0.10312075983717775
AbstractAssert.java,StandardComparisonStrategy_stringContains_Test.java,0.10595065312046444
StandardComparisonStrategy_stringContains_Test.java,AbstractAssert.java,0.10595065312046444
AbstractAssert.java,TypeComparators_Test.java,0.09481668773704172
TypeComparators_Test.java,AbstractAssert.java,0.09481668773704172
AbstractAssert.java,ClassBasedNavigableIterable_Test.java,0.15994236311239193
ClassBasedNavigableIterable_Test.java,AbstractAssert.java,0.15994236311239193
AbstractAssert.java,GenericNavigableAssert_Test.java,0.10344827586206896
GenericNavigableAssert_Test.java,AbstractAssert.java,0.10344827586206896
AbstractAssert.java,AbstractBaseRepresentationTest.java,0.10465116279069768
AbstractBaseRepresentationTest.java,AbstractAssert.java,0.10465116279069768
AbstractAssert.java,StandardRepresentation_toStringOf_Test.java,0.08190091001011122
StandardRepresentation_toStringOf_Test.java,AbstractAssert.java,0.08190091001011122
AbstractAssert.java,Employee.java,0.15342465753424658
Employee.java,AbstractAssert.java,0.15342465753424658
AbstractAssert.java,ExpectedException.java,0.13780918727915195
ExpectedException.java,AbstractAssert.java,0.13780918727915195
AbstractAssert.java,Name.java,0.15281501340482573
Name.java,AbstractAssert.java,0.15281501340482573
AbstractAssert.java,VehicleAssert.java,0.10775862068965517
VehicleAssert.java,AbstractAssert.java,0.10775862068965517
AbstractAssert.java,VehicleFactory.java,0.10780141843971631
VehicleFactory.java,AbstractAssert.java,0.10780141843971631
AbstractAssert.java,Arrays_hasOnlyNullElements_Test.java,0.1028169014084507
Arrays_hasOnlyNullElements_Test.java,AbstractAssert.java,0.1028169014084507
AbstractAssert.java,Employee.java,0.15796897038081806
Employee.java,AbstractAssert.java,0.15796897038081806
AbstractAssert.java,OtherStringTestComparator.java,0.1635036496350365
OtherStringTestComparator.java,AbstractAssert.java,0.1635036496350365
AbstractAssert.java,OtherStringTestComparatorWithAt.java,0.1635036496350365
OtherStringTestComparatorWithAt.java,AbstractAssert.java,0.1635036496350365
AbstractBooleanAssert.java,AbstractBooleanAssert.java,0.0
AbstractBooleanAssert.java,AbstractBooleanAssert.java,0.0
AbstractBooleanAssert.java,AbstractCharSequenceAssert.java,0.06147859922178988
AbstractCharSequenceAssert.java,AbstractBooleanAssert.java,0.06147859922178988
AbstractBooleanAssert.java,AbstractIntegerAssert.java,0.13673805601317957
AbstractIntegerAssert.java,AbstractBooleanAssert.java,0.13673805601317957
AbstractBooleanAssert.java,AbstractIterableAssert.java,0.021903052064631955
AbstractIterableAssert.java,AbstractBooleanAssert.java,0.021903052064631955
AbstractBooleanAssert.java,AbstractListAssert.java,0.12423625254582485
AbstractListAssert.java,AbstractBooleanAssert.java,0.12423625254582485
AbstractBooleanAssert.java,AbstractObjectAssert.java,0.07654921020656136
AbstractObjectAssert.java,AbstractBooleanAssert.java,0.07654921020656136
AbstractBooleanAssert.java,Assertions.java,0.019243986254295534
Assertions.java,AbstractBooleanAssert.java,0.019243986254295534
AbstractBooleanAssert.java,AssertionsForClassTypes.java,0.02841530054644809
AssertionsForClassTypes.java,AbstractBooleanAssert.java,0.02841530054644809
AbstractBooleanAssert.java,AssertionsForInterfaceTypes.java,0.09248554913294797
AssertionsForInterfaceTypes.java,AbstractBooleanAssert.java,0.09248554913294797
AbstractBooleanAssert.java,ClassBasedNavigableIterableAssert.java,0.12244897959183673
ClassBasedNavigableIterableAssert.java,AbstractBooleanAssert.java,0.12244897959183673
AbstractBooleanAssert.java,Condition.java,0.17687074829931973
Condition.java,AbstractBooleanAssert.java,0.17687074829931973
AbstractBooleanAssert.java,ListAssert.java,0.06487695749440715
ListAssert.java,AbstractBooleanAssert.java,0.06487695749440715
AbstractBooleanAssert.java,WritableAssertionInfo.java,0.12627986348122866
WritableAssertionInfo.java,AbstractBooleanAssert.java,0.12627986348122866
AbstractBooleanAssert.java,AnyOf.java,0.19523809523809524
AnyOf.java,AbstractBooleanAssert.java,0.19523809523809524
AbstractBooleanAssert.java,Join.java,0.16666666666666666
Join.java,AbstractBooleanAssert.java,0.16666666666666666
AbstractBooleanAssert.java,ConfigurationProvider.java,0.16574585635359115
ConfigurationProvider.java,AbstractBooleanAssert.java,0.16574585635359115
AbstractBooleanAssert.java,Services.java,0.11235955056179775
Services.java,AbstractBooleanAssert.java,0.11235955056179775
AbstractBooleanAssert.java,MapEntry.java,0.15350877192982457
MapEntry.java,AbstractBooleanAssert.java,0.15350877192982457
AbstractBooleanAssert.java,Description.java,0.19337016574585636
Description.java,AbstractBooleanAssert.java,0.19337016574585636
AbstractBooleanAssert.java,TextDescription.java,0.18627450980392157
TextDescription.java,AbstractBooleanAssert.java,0.18627450980392157
AbstractBooleanAssert.java,BasicErrorMessageFactory.java,0.1390728476821192
BasicErrorMessageFactory.java,AbstractBooleanAssert.java,0.1390728476821192
AbstractBooleanAssert.java,ConstructorInvoker.java,0.12244897959183673
ConstructorInvoker.java,AbstractBooleanAssert.java,0.12244897959183673
AbstractBooleanAssert.java,DescriptionFormatter.java,0.18421052631578946
DescriptionFormatter.java,AbstractBooleanAssert.java,0.18421052631578946
AbstractBooleanAssert.java,MessageFormatter.java,0.1889400921658986
MessageFormatter.java,AbstractBooleanAssert.java,0.1889400921658986
AbstractBooleanAssert.java,ShouldBeBetween.java,0.12658227848101267
ShouldBeBetween.java,AbstractBooleanAssert.java,0.12658227848101267
AbstractBooleanAssert.java,ShouldBeEqual.java,0.11140583554376658
ShouldBeEqual.java,AbstractBooleanAssert.java,0.11140583554376658
AbstractBooleanAssert.java,ShouldNotHaveDuplicates.java,0.1746031746031746
ShouldNotHaveDuplicates.java,AbstractBooleanAssert.java,0.1746031746031746
AbstractBooleanAssert.java,ByNameSingleExtractor.java,0.125
ByNameSingleExtractor.java,AbstractBooleanAssert.java,0.125
AbstractBooleanAssert.java,Extractors.java,0.14814814814814814
Extractors.java,AbstractBooleanAssert.java,0.14814814814814814
AbstractBooleanAssert.java,FieldsOrPropertiesExtractor.java,0.1596244131455399
FieldsOrPropertiesExtractor.java,AbstractBooleanAssert.java,0.1596244131455399
AbstractBooleanAssert.java,Properties.java,0.18992248062015504
