MethodName,CallDepth,AlwaysUsed
639.areEqual,54,false
640.missingElements,50,false
641.iterableContains,51,false
642.iterableContains,52,false
643.areEqual,53,false
644.areEqual,54,false
645.iterableContains,51,false
646.iterableContains,52,false
647.areEqual,53,false
648.areEqual,54,false
649.areEqualArrays,55,false
650.isArray,56,false
651.areEqual,53,false
652.areEqual,54,false
653.differencesFound,49,false
654.areEqual,49,false
655.areEqual,50,false
656.areEqual,51,false
657.areEqual,49,false
658.areEqual,50,false
659.areEqual,51,false
660.assertThat,46,true
661.assertThat,47,true
662.instance,48,true
663.instance,48,true
664.representation,48,true
665.useRepresentation,48,true
666.checkNotNull,49,true
667.instance,48,true
668.instance,48,true
669.extracting,46,false
670.byName,47,false
671.extract,47,false
672.checkObjectToExtractFromIsNotNull,48,false
673.newArrayList,48,false
674.extract,48,false
675.checkArgument,49,false
676.checkArgument,49,false
677.checkArgument,49,false
678.extract,48,false
679.checkArgument,49,false
680.checkArgument,49,false
681.checkArgument,49,false
682.extractedDescriptionOf,47,false
683.join,48,false
684.with,48,false
685.with,49,false
686.checkArgument,50,false
687.isNullOrEmpty,50,false
688.isEmpty,51,false
689.description,47,false
690.mostRelevantDescription,47,false
691.newListAssertInstance,47,false
692.instance,48,true
693.instance,48,true
694.representation,48,true
695.useRepresentation,48,true
696.checkNotNull,49,true
697.instance,48,true
698.instance,48,true
699.as,47,false
700.as,48,false
701.as,49,false
702.describedAs,50,false
703.describedAs,51,false
704.describedAs,52,false
705.description,53,false
706.isNullOrEmpty,54,false
707.isEmpty,55,false
708.containsExactly,46,false
709.containsExactly,47,false
710.assertContainsExactly,48,false
711.checkIsNotNull,49,false
712.assertNotNull,49,false
713.instance,50,true
714.assertNotNull,50,false
715.sizeOf,49,false
716.checkNotNull,50,true
717.assertHasSameSizeAs,49,false
718.assertNotNull,50,false
719.instance,51,true
720.assertNotNull,51,false
721.assertIsArray,50,false
722.isArray,51,false
723.sizeOf,50,false
724.checkNotNull,51,true
725.hasSameSizeAsCheck,50,false
726.checkOtherIsNotNull,51,false
727.checkNotNull,52,true
728.checkSameSizes,51,false
729.newArrayList,49,false
730.newArrayList,50,false
731.diff,49,false
732.unexpectedElements,50,false
733.iterableContains,51,false
734.iterableContains,52,false
735.areEqual,53,false
736.areEqual,54,false
737.iterableContains,51,false
738.iterableContains,52,false
739.areEqual,53,false
740.areEqual,54,false
741.areEqualArrays,55,false
742.isArray,56,false
743.areEqual,53,false
744.areEqual,54,false
745.missingElements,50,false
746.iterableContains,51,false
747.iterableContains,52,false
748.areEqual,53,false
749.areEqual,54,false
750.iterableContains,51,false
751.iterableContains,52,false
752.areEqual,53,false
753.areEqual,54,false
754.areEqualArrays,55,false
755.isArray,56,false
756.areEqual,53,false
757.areEqual,54,false
758.differencesFound,49,false
759.areEqual,49,false
760.areEqual,50,false
761.areEqual,51,false
762.areEqual,49,false
763.areEqual,50,false
764.areEqual,51,false
765.assertThat,46,true
766.assertThat,47,true
767.instance,48,true
768.instance,48,true
769.representation,48,true
770.useRepresentation,48,true
771.checkNotNull,49,true
772.instance,48,true
773.instance,48,true
774.extracting,46,false
775.byName,47,false
776.extract,47,false
777.checkObjectToExtractFromIsNotNull,48,false
778.newArrayList,48,false
779.extract,48,false
780.checkArgument,49,false
781.checkArgument,49,false
782.checkArgument,49,false
783.extract,48,false
784.checkArgument,49,false
785.checkArgument,49,false
786.checkArgument,49,false
787.extractedDescriptionOf,47,false
788.join,48,false
789.with,48,false
790.with,49,false
791.checkArgument,50,false
792.isNullOrEmpty,50,false
793.isEmpty,51,false
794.description,47,false
795.mostRelevantDescription,47,false
796.newListAssertInstance,47,false
797.instance,48,true
798.instance,48,true
799.representation,48,true
800.useRepresentation,48,true
801.checkNotNull,49,true
802.instance,48,true
803.instance,48,true
804.as,47,false
805.as,48,false
806.as,49,false
807.describedAs,50,false
808.describedAs,51,false
809.describedAs,52,false
810.description,53,false
811.isNullOrEmpty,54,false
812.isEmpty,55,false
813.containsExactly,46,false
814.containsExactly,47,false
815.assertContainsExactly,48,false
