org.jfree.chart.renderer.AbstractRenderer  ,  fireChangeEvent  ,  []  ,6
org.jfree.chart.renderer.AbstractRenderer  ,  notifyListeners  ,  [class org.jfree.chart.event.RendererChangeEvent]  ,7
org.jfree.chart.util.ResourceBundleWrapper  ,  getBundle  ,  [class java.lang.String]  ,5
org.jfree.data.general.AbstractDataset  ,  addChangeListener  ,  [interface org.jfree.data.general.DatasetChangeListener]  ,5
org.jfree.chart.plot.XYPlot  ,  mapDatasetToDomainAxis  ,  [int- int]  ,5
org.jfree.chart.plot.XYPlot  ,  mapDatasetToDomainAxes  ,  [int- interface java.util.List]  ,6
org.jfree.chart.util.Args  ,  requireNonNegative  ,  [int- class java.lang.String]  ,7
org.jfree.chart.plot.XYPlot  ,  checkAxisIndices  ,  [interface java.util.List]  ,7
org.jfree.chart.plot.XYPlot  ,  getDataset  ,  [int]  ,7
org.jfree.chart.plot.XYPlot  ,  datasetChanged  ,  [class org.jfree.data.general.DatasetChangeEvent]  ,7
org.jfree.chart.plot.XYPlot  ,  configureDomainAxes  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,9
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,10
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,10
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,11
org.jfree.chart.plot.XYPlot  ,  configureRangeAxes  ,  []  ,8
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,8
org.jfree.chart.event.ChartChangeEvent  ,  setType  ,  [class org.jfree.chart.event.ChartChangeEventType]  ,8
org.jfree.chart.plot.Plot  ,  notifyListeners  ,  [class org.jfree.chart.event.PlotChangeEvent]  ,8
org.jfree.chart.axis.Axis  ,  setPlot  ,  [class org.jfree.chart.plot.Plot]  ,5
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,6
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,7
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,7
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,8
org.jfree.chart.plot.XYPlot  ,  getDataRange  ,  [class org.jfree.chart.axis.ValueAxis]  ,8
org.jfree.chart.plot.XYPlot  ,  getDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
org.jfree.chart.plot.XYPlot  ,  findDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.XYPlot  ,  getDatasetsMappedToDomainAxis  ,  [class java.lang.Integer]  ,9
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,10
org.jfree.chart.plot.XYPlot  ,  getRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,9
