Method,Description,Nodes,Cyclomatic Complexity
org/assertj/core/api/AbstractAssert.isNotEqualTo,(Ljava/lang/Object;)Lorg/assertj/core/api/Assert;,8,1
org/assertj/core/api/AbstractAssert.isOfAnyClassIn,([Ljava/lang/Class;)Lorg/assertj/core/api/Assert;,8,1
org/assertj/core/api/AbstractAssert.isExactlyInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/Assert;,8,1
org/assertj/core/api/AbstractAssert.isNotNull,()Lorg/assertj/core/api/Assert;,7,1
org/assertj/core/api/AbstractAssert.isNotInstanceOf,(Ljava/lang/Class;)Lorg/assertj/core/api/Assert;,8,1
org/assertj/core/api/AbstractAssert.hasSameClassAs,(Ljava/lang/Object;)Lorg/assertj/core/api/Assert;,8,1
org/assertj/core/api/AbstractAssert.withRepresentation,(Lorg/assertj/core/presentation/Representation;)Lorg/assertj/core/api/Assert;,8,1
org/assertj/core/api/AbstractAssert.isInstanceOfAny,([Ljava/lang/Class;)Lorg/assertj/core/api/Assert;,8,1
org/assertj/core/api/AbstractAssert.withThreadDumpOnError,()Lorg/assertj/core/api/Assert;,7,1
org/assertj/core/api/AbstractAssert.hasSameHashCodeAs,(Ljava/lang/Object;)Lorg/assertj/core/api/Assert;,8,1
